ID,sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
388,,PROD,,ZRNMM_0003,,1,Jan,157,,0.0785
389,,PROD,,ZRNMM_0005,,1,Jan,60,,0.03
390,,PROD,,ZRNMM_0006,,1,Jan,71,,0.0355
391,,PROD,,ZRNMM_0009,,1,Jan,270,,0.135
392,,PROD,,ZRNMM_0012,,1,Jan,234,,0.117
393,,PROD,,ZRNMM_0013,,1,Jan,3,,0.0015
394,,PROD,,ZRNMM_0014,,1,Jan,26,,0.013
395,,PROD,,ZRNMM_0015,,1,Jan,125,,0.0625
396,,PROD,,ZRNMM_ZAO0003,,2,Jan,26407,,13.2035
397,,PROD,,ZRNMM_ZAO0004,,3,Jan,80266,,40.133
398,,PROD,,ZRNMM_ZAO0005,,2,Jan,806,,0.403
399,,PROD,,ZRNMM_ZAO0006,,1,Jan,3,,0.0015
400,,PROD,,ZRNSD_0006,,1,Jan,4109,,2.0545
401,,PROD,,ZRNSD_0007,,1,Jan,8,,0.004
402,,PROD,,ZRNSD_0008,,1,Jan,25,,0.0125
403,,PROD,,ZRNSD_0009,,1,Jan,4155,,2.0775
404,,PROD,,ZRNSD_0011,,1,Jan,388,,0.194
405,,PROD,,ZRNSD_0012,,1,Jan,2,,0.001
406,,PROD,,ZRNSD_0013,,1,Jan,29534,,14.767
407,,PROD,,ZRNSD_0017,,1,Jan,5,,0.0025
408,,PROD,,ZRNSD_0018,,1,Jan,899,,0.4495
409,,PROD,,ZRNSD_0019,,1,Jan,41298,,20.649
410,,PROD,,ZRNSD_0025,,1,Jan,1,,0.0005
411,,PROD,,ZRNSD_ZAB0001,,1,Jan,13,,0.0065
412,,PROD,,ZRNSD_ZAO0001,,1,Jan,10,,0.005
413,,PROD,,ZRNSD_ZAO0003,,3,Jan,431511,,215.7555
414,,PROD,,ZRNSD_ZAO0004,,1,Jan,5,,0.0025
415,,PROD,,ZRNSD_ZAO0005,,1,Jan,1073,,0.5365
416,,PROD,,ZRNSD_ZAO0006,,4,Jan,235452,,117.726
417,,PROD,,ZRNSD_ZAR0008,,2,Jan,1940,,0.97
418,,PROD,,ZSGBMR_WBSPOSTING,,1,Jan,44,,0.022
419,,PROD,,ZSNDS_0002,,1,Jan,8,,0.004
420,,PROD,,ZSNDS_0003,,1,Jan,11,,0.0055
421,,PROD,,ZSNDS_0006,,1,Jan,31,,0.0155
422,,PROD,,ZSNDS_0013,,1,Jan,5003,,2.5015
423,,PROD,,ZSNDS_0016,,1,Jan,63,,0.0315
424,,PROD,,ZSNDS_0019,,1,Jan,7,,0.0035
425,,PROD,,ZSNDS_0023,,1,Jan,15,,0.0075
426,,PROD,,ZSNDS_0026,,1,Jan,2,,0.001
427,,PROD,,ZSNDS_0029,,1,Jan,19,,0.0095
428,,PROD,,ZSNDS_0030,,1,Jan,922,,0.461
429,,PROD,,ZSNDS_0032,,1,Jan,12,,0.006
430,,PROD,,ZSNDS_0041,,1,Jan,76,,0.038
431,,PROD,,ZSNDS_0043,,1,Jan,71,,0.0355
432,,PROD,,ZSNDS_ZAB0003,,1,Jan,3619,,1.8095
433,,PROD,,ZSNDS_ZAI0001,,1,Jan,108,,0.054
434,,PROD,,ZSNDS_ZAO0001,,1,Jan,13,,0.0065
435,,PROD,,ZSNDS_ZAO0002,,1,Jan,127,,0.0635
436,,PROD,,ZSNDS_ZAO0003,,1,Jan,1090,,0.545
437,,PROD,,ZSNDS_ZAR0010,,3,Jan,1133,,0.5665
438,,PROD,,ZSNDS_ZAR0015,,23,Jan,548,,0.274
439,,PROD,,ZSNDS_ZAR0018,,3,Jan,1736,,0.868
440,,PROD,,ZSNDS_ZAR0019,,2,Jan,29,,0.0145
441,,PROD,,ZSNDS_ZAR0020,,7,Jan,72,,0.036
442,,PROD,,ZSNDS_ZAR0022,,3,Jan,5564,,2.782
443,,PROD,,ZSNDS_ZAR0023,,1,Jan,9,,0.0045
444,,PROD,,ZSNDS_ZAR0046,,1,Jan,1,,0.0005
445,,PROD,,ZSNDS_ZAR0048,,2,Jan,2,,0.001
446,,PROD,,ZSNFI_0005,,1,Jan,6,,0.003
447,,PROD,,ZSNFI_0016,,1,Jan,6,,0.003
448,,PROD,,ZSNFI_0021,,1,Jan,15,,0.0075
449,,PROD,,ZSNFI_0023,,1,Jan,38,,0.019
450,,PROD,,ZSNFI_0024,,1,Jan,1,,0.0005
451,,PROD,,ZSNFI_0036,,1,Jan,176,,0.088
452,,PROD,,ZSNFI_0038,,1,Jan,252,,0.126
453,,PROD,,ZSNFI_0047,,1,Jan,2291,,1.1455
454,,PROD,,ZSNFI_0050,,1,Jan,5632,,2.816
455,,PROD,,ZSNFI_0053,,1,Jan,495,,0.2475
456,,PROD,,ZSNFI_0054,,1,Jan,3,,0.0015
457,,PROD,,ZSNFI_0055,,1,Jan,8,,0.004
458,,PROD,,ZSNFI_0056,,1,Jan,8,,0.004
459,,PROD,,ZSNFI_0060,,1,Jan,690,,0.345
460,,PROD,,ZSNFI_0061,,1,Jan,11379,,5.6895
461,,PROD,,ZSNFI_0062,,1,Jan,373,,0.1865
462,,PROD,,ZSNFI_0063,,1,Jan,16,,0.008
463,,PROD,,ZSNFI_0064,,1,Jan,597,,0.2985
464,,PROD,,ZSNFI_0065,,1,Jan,109,,0.0545
465,,PROD,,ZSNFI_0066,,1,Jan,157,,0.0785
466,,PROD,,ZSNFI_0067,,1,Jan,98,,0.049
467,,PROD,,ZSNFI_0068,,1,Jan,2354,,1.177
468,,PROD,,ZSNFI_0074,,1,Jan,871,,0.4355
469,,PROD,,ZSNFI_0076,,1,Jan,4,,0.002
470,,PROD,,ZSNFI_0077,,1,Jan,26,,0.013
471,,PROD,,ZSNFI_0078,,1,Jan,85,,0.0425
472,,PROD,,ZSNFI_0081,,1,Jan,1624,,0.812
473,,PROD,,ZSNFI_0082,,1,Jan,3070,,1.535
474,,PROD,,ZSNFI_0084,,1,Jan,677,,0.3385
475,,PROD,,ZSNFI_0086,,1,Jan,8,,0.004
476,,PROD,,ZSNFI_0087,,1,Jan,170,,0.085
477,,PROD,,ZSNFI_0088,,1,Jan,13,,0.0065
478,,PROD,,ZSNFI_0089,,1,Jan,339,,0.1695
479,,PROD,,ZSNFI_0100,,1,Jan,552,,0.276
480,,PROD,,ZSNFI_0101,,1,Jan,224,,0.112
481,,PROD,,ZSNFI_0102,,1,Jan,156,,0.078
482,,PROD,,ZSNFI_0104,,1,Jan,643,,0.3215
483,,PROD,,ZSNFI_0105,,1,Jan,164,,0.082
484,,PROD,,ZSNFI_0106,,1,Jan,302,,0.151
485,,PROD,,ZSNFI_0107,,1,Jan,1517,,0.7585
486,,PROD,,ZSNFI_0108,,1,Jan,3284,,1.642
487,,PROD,,ZSNFI_0111,,1,Jan,2003,,1.0015
488,,PROD,,ZSNFI_0112,,1,Jan,2992,,1.496
489,,PROD,,ZSNFI_0113,,1,Jan,120,,0.06
490,,PROD,,ZSNFI_0114,,1,Jan,1,,0.0005
491,,PROD,,ZSNFI_0116,,1,Jan,526,,0.263
492,,PROD,,ZSNFI_0117,,1,Jan,111,,0.0555
493,,PROD,,ZSNFI_0122,,1,Jan,205,,0.1025
494,,PROD,,ZSNFI_0123,,1,Jan,60,,0.03
495,,PROD,,ZSNFI_0127,,1,Jan,169,,0.0845
496,,PROD,,ZSNFI_0128,,1,Jan,4430,,2.215
497,,PROD,,ZSNFI_0129,,1,Jan,61,,0.0305
498,,PROD,,ZSNFI_0130,,1,Jan,912,,0.456
499,,PROD,,ZSNFI_0133,,1,Jan,226,,0.113
500,,PROD,,ZSNFI_0134,,1,Jan,149,,0.0745
501,,PROD,,ZSNFI_0135,,1,Jan,203,,0.1015
502,,PROD,,ZSNFI_0136,,1,Jan,85,,0.0425
503,,PROD,,ZSNFI_0201,,1,Jan,128,,0.064
504,,PROD,,ZSNFI_0202,,1,Jan,7,,0.0035
505,,PROD,,ZSNFI_ZAO0005,,3,Jan,214,,0.107
506,,PROD,,ZSNFI_ZAO0008,,5,Jan,5,,0.0025
507,,PROD,,ZSNFI_ZAO0009,,2,Jan,1,,0.0005
508,,PROD,,ZSNFI_ZAO0024,,1,Jan,2,,0.001
509,,PROD,,ZSNFI_ZAO0025,,1,Jan,1,,0.0005
510,,PROD,,ZSNFI_ZAO0026,,11,Jan,20240,,10.12
511,,PROD,,ZSNFI_ZAR0007,,2,Jan,6446,,3.223
512,,PROD,,ZSNFI_ZAR0008,,1,Jan,1,,0.0005
513,,PROD,,ZSNFI_ZAR0010,,15,Jan,7,,0.0035
514,,PROD,,ZSNFI_ZAR0023,,1,Jan,60,,0.03
515,,PROD,,ZSNFI_ZAS0005,,224,Jan,153,,0.0765
516,,PROD,,ZSNMM_0002,,1,Jan,276,,0.138
517,,PROD,,ZSNMM_0005,,1,Jan,3952,,1.976
518,,PROD,,ZSNMM_0007,,1,Jan,6870,,3.435
519,,PROD,,ZSNMM_0008,,1,Jan,1983,,0.9915
520,,PROD,,ZSNMM_0012,,1,Jan,223,,0.1115
521,,PROD,,ZSNMM_0016,,1,Jan,1,,0.0005
522,,PROD,,ZSNMM_0017,,1,Jan,442,,0.221
523,,PROD,,ZSNMM_0018,,1,Jan,44,,0.022
524,,PROD,,ZSNMM_0019,,1,Jan,1002,,0.501
525,,PROD,,ZSNMM_0020,,1,Jan,3,,0.0015
526,,PROD,,ZSNMM_0021,,1,Jan,2,,0.001
527,,PROD,,ZSNMM_ZAR0015,,2,Jan,25643,,12.8215
528,,PROD,,ZSNSD_0004,,1,Jan,1,,0.0005
529,,PROD,,ZSNSD_0006,,1,Jan,9,,0.0045
530,,PROD,,ZSNSD_0008,,1,Jan,13,,0.0065
531,,PROD,,ZSNSD_0009,,1,Jan,40,,0.02
532,,PROD,,ZSNSD_0012,,1,Jan,103,,0.0515
533,,PROD,,ZSNSD_ZAO0001,,1,Jan,2,,0.001
534,,PROD,,ZSNSD_ZAO0002,,15,Jan,2355,,1.1775
535,,PROD,,ZSOD_V2,,1,Jan,36,,0.018
536,,PROD,,ZTNCO_0001,,1,Jan,4,,0.002
537,,PROD,,ZTNCO_0005,,1,Jan,41,,0.0205
538,,PROD,,ZTNFI_0003,,1,Jan,3,,0.0015
539,,PROD,,ZTNFI_0004,,1,Jan,1,,0.0005
540,,PROD,,ZTNFI_0005,,1,Jan,105,,0.0525
541,,PROD,,ZTNFI_0009,,1,Jan,35,,0.0175
542,,PROD,,ZTNFI_0011,,1,Jan,113,,0.0565
543,,PROD,,ZTNFI_0016,,1,Jan,12368,,6.184
544,,PROD,,ZTNFI_0016R,,1,Jan,2,,0.001
545,,PROD,,ZTNFI_0018,,1,Jan,209,,0.1045
546,,PROD,,ZTNFI_0019,,1,Jan,48,,0.024
547,,PROD,,ZTNFI_0020,,1,Jan,345,,0.1725
548,,PROD,,ZTNFI_0021,,1,Jan,2,,0.001
549,,PROD,,ZTNFI_0022,,1,Jan,162,,0.081
550,,PROD,,ZTNFI_0034,,1,Jan,1,,0.0005
551,,PROD,,ZTNFI_0041,,1,Jan,31,,0.0155
552,,PROD,,ZTNFI_0050,,1,Jan,29,,0.0145
553,,PROD,,ZTNFI_0051,,1,Jan,1,,0.0005
554,,PROD,,ZTNFI_0053,,1,Jan,880,,0.44
555,,PROD,,ZTNFI_0054,,1,Jan,7106,,3.553
556,,PROD,,ZTNFI_0071,,1,Jan,3,,0.0015
557,,PROD,,ZTNFI_0075,,1,Jan,7,,0.0035
558,,PROD,,ZTNFI_ZAN0001,,1,Jan,229,,0.1145
559,,PROD,,ZTNFI_ZAO0006,,2,Jan,284,,0.142
560,,PROD,,ZTNFI_ZAR0007,,2,Jan,1,,0.0005
561,,PROD,,ZTNMM_0002,,1,Jan,3,,0.0015
562,,PROD,,ZTNMM_0004,,1,Jan,3,,0.0015
563,,PROD,,ZTNMM_0007,,1,Jan,493,,0.2465
564,,PROD,,ZTNMM_0009,,1,Jan,3220,,1.61
565,,PROD,,ZTNMM_0010,,1,Jan,8134,,4.067
566,,PROD,,ZTNMM_0011,,1,Jan,1461,,0.7305
567,,PROD,,ZTNMM_0015,,1,Jan,2,,0.001
568,,PROD,,ZTNMM_0016,,1,Jan,25,,0.0125
569,,PROD,,ZTNMM_0031,,1,Jan,10918,,5.459
570,,PROD,,ZTNMM_0037,,1,Jan,53,,0.0265
571,,PROD,,ZTNMM_0038,,1,Jan,30,,0.015
572,,PROD,,ZTNMM_0048,,1,Jan,640,,0.32
573,,PROD,,ZTNMM_0049,,1,Jan,1,,0.0005
574,,PROD,,ZTNMM_0050,,1,Jan,30,,0.015
575,,PROD,,ZTNMM_0051,,1,Jan,113,,0.0565
576,,PROD,,ZTNMM_0052,,1,Jan,422,,0.211
577,,PROD,,ZTNMM_0056,,1,Jan,196,,0.098
578,,PROD,,ZTNMM_0058,,1,Jan,263,,0.1315
579,,PROD,,ZTNMM_ZAE0001,,4,Jan,88954,,44.477
580,,PROD,,ZTNMM_ZAN0002,,21,Jan,86,,0.043
581,,PROD,,ZTNMM_ZAO0001,,1,Jan,11,,0.0055
582,,PROD,,ZTNMM_ZAO0010,,1,Jan,16,,0.008
583,,PROD,,ZTNMM_ZAO0015,,1,Jan,1,,0.0005
584,,PROD,,ZTNSD_0006,,1,Jan,1805,,0.9025
585,,PROD,,ZTNSD_0014,,1,Jan,1598,,0.799
586,,PROD,,ZTNSD_0017,,1,Jan,206,,0.103
587,,PROD,,ZTNSD_0019,,1,Jan,247,,0.1235
588,,PROD,,ZTNSD_0020,,1,Jan,9,,0.0045
589,,PROD,,ZTNSD_0021,,1,Jan,7636,,3.818
590,,PROD,,ZTNSD_0022,,1,Jan,44319,,22.1595
591,,PROD,,ZTNSD_0023,,1,Jan,69460,,34.73
592,,PROD,,ZTNSD_0037,,1,Jan,41,,0.0205
593,,PROD,,ZTNSD_0047,,1,Jan,303,,0.1515
594,,PROD,,ZTNSD_0049,,1,Jan,5,,0.0025
595,,PROD,,ZTNSD_0056,,1,Jan,40,,0.02
596,,PROD,,ZTNSD_0059,,1,Jan,13,,0.0065
597,,PROD,,ZTNSD_0060,,1,Jan,1,,0.0005
598,,PROD,,ZTNSD_ZAB0011,,86,Jan,518,,0.259
599,,PROD,,ZTNSD_ZAE0006,,1,Jan,14099,,7.0495
600,,PROD,,ZTNSD_ZAN0002,,1,Jan,2155,,1.0775
601,,PROD,,ZTNSD_ZAO0001,,1,Jan,174,,0.087
602,,PROD,,ZTNSD_ZAO0002,,1,Jan,139,,0.0695
603,,PROD,,ZTNSD_ZAO0005,,1,Jan,4390,,2.195
604,,PROD,,ZTNSD_ZAO0007,,1,Jan,1,,0.0005
605,,PROD,,ZTNSD_ZAO0008,,1,Jan,74,,0.037
606,,PROD,,ZTNSD_ZAO0009,,1,Jan,2583,,1.2915
607,,PROD,,ZTNSD_ZAO0010,,1,Jan,952,,0.476
608,,PROD,,ZTNSD_ZAO0011,,1,Jan,1647,,0.8235
609,,PROD,,ZTNSD_ZAO0012,,1,Jan,8363,,4.1815
610,,PROD,,ZTNSD_ZAO0014,,1,Jan,116,,0.058
611,,PROD,,ZTNSD_ZAO0015,,1,Jan,2,,0.001
612,,PROD,,ZTNSD_ZAO0016,,1,Jan,83,,0.0415
613,,PROD,,ZTNSD_ZAO0018,,1,Jan,169,,0.0845
614,,PROD,,ZTNSD_ZAO0030,,1,Jan,64589,,32.2945
615,,PROD,,ZTNSD_ZAR0054,,2,Jan,157,,0.0785
616,,PROD,,ZVNFI_0001,,1,Jan,86,,0.043
617,,PROD,,ZVNFI_0002,,1,Jan,4,,0.002
618,,PROD,,ZVNFI_0003,,1,Jan,218,,0.109
619,,PROD,,ZVNFI_ZAB0001,,1,Jan,197,,0.0985
620,,PROD,,ZVNSD_0001,,1,Jan,6,,0.003
621,,PROD,,ZVNSD_0002,,1,Jan,1,,0.0005
622,,PROD,,ZVNSD_0004,,1,Jan,28,,0.014
623,,PROD,,ZWADATIS,,1,Jan,885,,0.4425
624,,PROD,,Y0GBC_ZAR0003,,1,Feb,18,,0.009
625,,PROD,,Y0GSD_0001,,1,Feb,5119,,2.5595
626,,PROD,,Y0NBC_0001,,1,Feb,37,,0.0185
627,,PROD,,Y0NBC_0004,,1,Feb,18,,0.009
628,,PROD,,Y0NBC_ZAB0001,,1,Feb,15,,0.0075
629,,PROD,,Y0NBC_ZAR0027,,1,Feb,54,,0.027
630,,PROD,,Y0NBC_ZAR0028,,3,Feb,241,,0.1205
631,,PROD,,Y0NCO_0013,,1,Feb,9,,0.0045
632,,PROD,,Y0NCO_0017,,1,Feb,3257,,1.6285
633,,PROD,,Y0NFI_0002,,1,Feb,5,,0.0025
634,,PROD,,Y0NFI_0003,,1,Feb,12,,0.006
635,,PROD,,Y0NFI_0005,,1,Feb,1,,0.0005
636,,PROD,,Y0NFI_0006,,1,Feb,37,,0.0185
637,,PROD,,Y0NFI_0008,,1,Feb,7,,0.0035
638,,PROD,,Y0NFI_0009,,1,Feb,12,,0.006
639,,PROD,,Y0NFI_0013,,1,Feb,1957,,0.9785
640,,PROD,,Y0NFI_0014,,1,Feb,4169,,2.0845
641,,PROD,,Y0NFI_0015,,1,Feb,4,,0.002
642,,PROD,,Y0NFI_0017,,1,Feb,1,,0.0005
643,,PROD,,Y0NFI_0020,,1,Feb,25,,0.0125
644,,PROD,,Y0NFI_0022,,1,Feb,10,,0.005
645,,PROD,,Y0NFI_0030,,1,Feb,16,,0.008
646,,PROD,,Y0NFI_0032,,1,Feb,5,,0.0025
647,,PROD,,Y0NFI_0037,,1,Feb,87,,0.0435
648,,PROD,,Y0NFI_0040,,1,Feb,1,,0.0005
649,,PROD,,Y0NFI_0043,,1,Feb,4,,0.002
650,,PROD,,Y0NFI_0060,,1,Feb,9,,0.0045
651,,PROD,,Y0NFI_0082,,1,Feb,15,,0.0075
652,,PROD,,Y0NFI_0083,,1,Feb,28,,0.014
653,,PROD,,Y0NFI_0089,,1,Feb,11,,0.0055
654,,PROD,,Y0NFI_0104,,1,Feb,4674,,2.337
655,,PROD,,Y0NFI_0106,,1,Feb,44628,,22.314
656,,PROD,,Y0NFI_0120,,1,Feb,3318,,1.659
657,,PROD,,Y0NFI_0121,,1,Feb,1824,,0.912
658,,PROD,,Y0NFI_0122,,1,Feb,962,,0.481
659,,PROD,,Y0NFI_0126,,1,Feb,1,,0.0005
660,,PROD,,Y0NFI_0127,,1,Feb,473,,0.2365
661,,PROD,,Y0NFI_0128,,1,Feb,986,,0.493
662,,PROD,,Y0NFI_0131,,1,Feb,1992,,0.996
663,,PROD,,Y0NFI_0133,,1,Feb,6133,,3.0665
664,,PROD,,Y0NFI_0137,,1,Feb,4,,0.002
665,,PROD,,Y0NFI_0139,,1,Feb,787,,0.3935
666,,PROD,,Y0NFI_0177,,1,Feb,11539,,5.7695
667,,PROD,,Y0NFI_0178,,1,Feb,312,,0.156
668,,PROD,,Y0NFI_0206,,1,Feb,2,,0.001
669,,PROD,,Y0NFI_0209,,1,Feb,423,,0.2115
670,,PROD,,Y0NFI_0220,,1,Feb,25694,,12.847
671,,PROD,,Y0NFI_0226,,1,Feb,1781,,0.8905
672,,PROD,,Y0NFI_0231,,1,Feb,7,,0.0035
673,,PROD,,Y0NFI_0234,,1,Feb,121,,0.0605
674,,PROD,,Y0NFI_0237,,1,Feb,10,,0.005
675,,PROD,,Y0NFI_0240,,1,Feb,2965,,1.4825
676,,PROD,,Y0NFI_02401,,1,Feb,1308,,0.654
677,,PROD,,Y0NFI_0242,,1,Feb,3,,0.0015
678,,PROD,,Y0NFI_0243,,1,Feb,2,,0.001
679,,PROD,,Y0NFI_02431,,1,Feb,3,,0.0015
680,,PROD,,Y0NFI_0245,,1,Feb,29,,0.0145
681,,PROD,,Y0NFI_0286,,1,Feb,391,,0.1955
682,,PROD,,Y0NFI_0291_COPY,,1,Feb,9,,0.0045
683,,PROD,,Y0NFI_0299,,1,Feb,10,,0.005
684,,PROD,,Y0NFI_0303,,1,Feb,58,,0.029
685,,PROD,,Y0NFI_0310,,1,Feb,198,,0.099
686,,PROD,,Y0NFI_0314,,1,Feb,255,,0.1275
687,,PROD,,Y0NFI_0323,,1,Feb,367,,0.1835
688,,PROD,,Y0NFI_0330,,1,Feb,25,,0.0125
689,,PROD,,Y0NFI_0331,,1,Feb,394,,0.197
690,,PROD,,Y0NFI_0336,,1,Feb,75,,0.0375
691,,PROD,,Y0NFI_0351,,1,Feb,1,,0.0005
692,,PROD,,Y0NFI_ZAB0011,,9,Feb,59,,0.0295
693,,PROD,,Y0NFI_ZAB0012,,7,Feb,26,,0.013
694,,PROD,,Y0NFI_ZAB0013,,28,Feb,239,,0.1195
695,,PROD,,Y0NFI_ZAN0004,,5,Feb,43,,0.0215
696,,PROD,,Y0NFI_ZAN0105,,2,Feb,151,,0.0755
697,,PROD,,Y0NFI_ZAO0003,,2,Feb,2,,0.001
698,,PROD,,Y0NFI_ZAO0011,,1,Feb,3,,0.0015
699,,PROD,,Y0NFI_ZAO0021,,3,Feb,749,,0.3745
700,,PROD,,Y0NFI_ZAO0023,,2,Feb,3292,,1.646
701,,PROD,,Y0NFI_ZAO0101,,1,Feb,237,,0.1185
702,,PROD,,Y0NFI_ZAO0110,,2,Feb,7,,0.0035
703,,PROD,,Y0NFI_ZAO0116,,3,Feb,63,,0.0315
704,,PROD,,Y0NFI_ZAO0206,,2,Feb,20,,0.01
705,,PROD,,Y0NFI_ZAO0212,,1,Feb,57117,,28.5585
706,,PROD,,Y0NFI_ZAO0220,,3,Feb,2,,0.001
707,,PROD,,Y0NFI_ZAR0001,,1,Feb,447,,0.2235
708,,PROD,,Y0NFI_ZAR0002,,1,Feb,69,,0.0345
709,,PROD,,Y0NFI_ZAR0020,,7,Feb,18775,,9.3875
710,,PROD,,Y0NFI_ZAR0038,,2,Feb,1158,,0.579
711,,PROD,,Y0NFI_ZAR0040,,17,Feb,89999,,44.9995
712,,PROD,,Y0NFI_ZAR0059,,2,Feb,17657,,8.8285
713,,PROD,,Y0NFI_ZAR0069,,1,Feb,167,,0.0835
714,,PROD,,Y0NFI_ZAR0070,,2,Feb,28,,0.014
715,,PROD,,Y0NFI_ZAR0127,,7,Feb,370,,0.185
716,,PROD,,Y0NFI_ZAR0128,,7,Feb,358,,0.179
717,,PROD,,Y0NFI_ZAR0130,,1,Feb,35,,0.0175
718,,PROD,,Y0NFI_ZAR0212,,2,Feb,5743,,2.8715
719,,PROD,,Y0NFI_ZAR0279,,2,Feb,1,,0.0005
720,,PROD,,Y0NFI_ZAR218_COPY,,2,Feb,51,,0.0255
721,,PROD,,Y0NMM_0004,,1,Feb,850,,0.425
722,,PROD,,Y0NMM_0005,,1,Feb,818,,0.409
723,,PROD,,Y0NMM_0008,,1,Feb,4,,0.002
724,,PROD,,Y0NMM_0012,,1,Feb,415,,0.2075
725,,PROD,,Y0NMM_0014,,1,Feb,171,,0.0855
726,,PROD,,Y0NMM_0015,,1,Feb,105,,0.0525
727,,PROD,,Y0NMM_0016,,1,Feb,46,,0.023
728,,PROD,,Y0NMM_0017,,1,Feb,2,,0.001
729,,PROD,,Y0NMM_0018,,1,Feb,15,,0.0075
730,,PROD,,Y0NMM_0022,,1,Feb,519,,0.2595
731,,PROD,,Y0NMM_0026,,1,Feb,122,,0.061
732,,PROD,,Y0NMM_0037,,1,Feb,56,,0.028
733,,PROD,,Y0NMM_0039,,1,Feb,68,,0.034
734,,PROD,,Y0NMM_0040,,1,Feb,78,,0.039
735,,PROD,,Y0NMM_0042,,1,Feb,194,,0.097
736,,PROD,,Y0NMM_0045,,1,Feb,7958,,3.979
737,,PROD,,Y0NMM_0048,,1,Feb,2,,0.001
738,,PROD,,Y0NMM_0053,,1,Feb,3701,,1.8505
739,,PROD,,Y0NMM_0054,,1,Feb,8,,0.004
740,,PROD,,Y0NMM_0056,,1,Feb,89311,,44.6555
741,,PROD,,Y0NMM_0057,,1,Feb,120,,0.06
742,,PROD,,Y0NMM_0063,,1,Feb,62,,0.031
743,,PROD,,Y0NMM_0065,,1,Feb,4,,0.002
744,,PROD,,Y0NMM_0066,,1,Feb,1,,0.0005
745,,PROD,,Y0NMM_0070,,1,Feb,149,,0.0745
746,,PROD,,Y0NMM_0073,,1,Feb,1,,0.0005
747,,PROD,,Y0NMM_0075,,1,Feb,614,,0.307
748,,PROD,,Y0NMM_0076,,1,Feb,15308,,7.654
749,,PROD,,Y0NMM_0082,,1,Feb,740,,0.37
750,,PROD,,Y0NMM_0083,,1,Feb,543,,0.2715
751,,PROD,,Y0NMM_0085,,1,Feb,215,,0.1075
752,,PROD,,Y0NMM_0086,,1,Feb,1346,,0.673
753,,PROD,,Y0NMM_0088,,1,Feb,16,,0.008
754,,PROD,,Y0NMM_0089,,1,Feb,1,,0.0005
755,,PROD,,Y0NMM_0105,,1,Feb,1398,,0.699
756,,PROD,,Y0NMM_0109,,1,Feb,653,,0.3265
757,,PROD,,Y0NMM_0110,,1,Feb,1166,,0.583
758,,PROD,,Y0NMM_0111,,1,Feb,17,,0.0085
759,,PROD,,Y0NMM_0114,,1,Feb,4,,0.002
760,,PROD,,Y0NMM_0213,,1,Feb,2,,0.001
761,,PROD,,Y0NMM_0215,,1,Feb,49698,,24.849
762,,PROD,,Y0NMM_0219,,1,Feb,16,,0.008
763,,PROD,,Y0NMM_0224,,1,Feb,78,,0.039
764,,PROD,,Y0NMM_0228,,1,Feb,11,,0.0055
765,,PROD,,Y0NMM_0233,,1,Feb,7,,0.0035
766,,PROD,,Y0NMM_0238,,1,Feb,4,,0.002
767,,PROD,,Y0NMM_0242,,1,Feb,1,,0.0005
768,,PROD,,Y0NMM_0246,,1,Feb,34,,0.017
769,,PROD,,Y0NMM_0264,,1,Feb,20,,0.01
770,,PROD,,Y0NMM_T0103,,1,Feb,3,,0.0015
771,,PROD,,Y0NMM_ZAB0002,,2,Feb,29,,0.0145
772,,PROD,,Y0NMM_ZAC0006=================CP,,1,Feb,39,,0.0195
773,,PROD,,Y0NMM_ZAE0001,,33,Feb,127,,0.0635
774,,PROD,,Y0NMM_ZAE0003,,1,Feb,4,,0.002
775,,PROD,,Y0NMM_ZAN0001,,10,Feb,19,,0.0095
776,,PROD,,Y0NMM_ZAN0008,,4,Feb,3,,0.0015
777,,PROD,,Y0NMM_ZAO0002,,9,Feb,13,,0.0065
778,,PROD,,Y0NMM_ZAO0003,,9,Feb,163,,0.0815
779,,PROD,,Y0NMM_ZAO0004,,19,Feb,65410,,32.705
780,,PROD,,Y0NMM_ZAO0005,,6,Feb,26,,0.013
781,,PROD,,Y0NMM_ZAO0008,,1,Feb,10,,0.005
782,,PROD,,Y0NMM_ZAO0016,,14,Feb,33,,0.0165
783,,PROD,,Y0NMM_ZAO0017,,17,Feb,70464,,35.232
784,,PROD,,Y0NMM_ZAO0020,,3,Feb,61,,0.0305
785,,PROD,,Y0NMM_ZAO0021,,3,Feb,1291,,0.6455
786,,PROD,,Y0NMM_ZAO0025,,6,Feb,12863,,6.4315
787,,PROD,,Y0NMM_ZAO0026,,5,Feb,9740,,4.87
788,,PROD,,Y0NMM_ZAO0027,,15,Feb,8289,,4.1445
789,,PROD,,Y0NMM_ZAO0028,,7,Feb,114,,0.057
790,,PROD,,Y0NMM_ZAO0029,,8,Feb,151,,0.0755
791,,PROD,,Y0NMM_ZAO0030,,2,Feb,618,,0.309
792,,PROD,,Y0NMM_ZAO0031,,7,Feb,52,,0.026
793,,PROD,,Y0NMM_ZAO0032,,2,Feb,21,,0.0105
794,,PROD,,Y0NMM_ZAO0203,,2,Feb,7,,0.0035
795,,PROD,,Y0NMM_ZAR0002,,24,Feb,182,,0.091
