sapServer,usage,databaseServer,programName,activeUsersOfTheProgram,noOfTimesThePgmRunForTheMonth,executionMonth,currentRunningTimeinCPUSeconds,energyConsumptioninMWH,co2EmissioninMG
,PROD,,Y0NMM_0015,,1,Jan,67,,
,PROD,,Y0NMM_0016,,1,Jan,56,,
,PROD,,Y0NMM_0018,,1,Jan,23,,
,PROD,,Y0NMM_0022,,1,Jan,273,,
,PROD,,Y0NMM_0026,,1,Jan,98,,
,PROD,,Y0NMM_0037,,1,Jan,76,,
,PROD,,Y0NMM_0039,,1,Jan,68,,
,PROD,,Y0NMM_0040,,1,Jan,80,,
,PROD,,Y0NMM_0042,,1,Jan,87,,
,PROD,,Y0NMM_0043,,1,Jan,1,,
,PROD,,Y0NMM_0045,,1,Jan,7498,,
,PROD,,Y0NMM_0048,,1,Jan,8,,
,PROD,,Y0NMM_0053,,1,Jan,7488,,
,PROD,,Y0NMM_0056,,1,Jan,99613,,
,PROD,,Y0NMM_0057,,1,Jan,89,,
,PROD,,Y0NMM_0063,,1,Jan,44,,
,PROD,,Y0NMM_0070,,1,Jan,97,,
,PROD,,Y0NMM_0073,,1,Jan,1,,
,PROD,,Y0NMM_0075,,1,Jan,645,,
,PROD,,Y0NMM_0076,,1,Jan,22912,,
,PROD,,Y0NMM_0082,,1,Jan,852,,
,PROD,,Y0NMM_0083,,1,Jan,1602,,
,PROD,,Y0NMM_0085,,1,Jan,112,,
,PROD,,Y0NMM_0086,,1,Jan,17,,
,PROD,,Y0NMM_0088,,1,Jan,17,,
,PROD,,Y0NMM_0089,,1,Jan,1,,
,PROD,,Y0NMM_0095,,1,Jan,3,,
,PROD,,Y0NMM_0105,,1,Jan,631,,
,PROD,,Y0NMM_0106,,1,Jan,7,,
,PROD,,Y0NMM_0109,,1,Jan,27,,
,PROD,,Y0NMM_0110,,1,Jan,5705,,
,PROD,,Y0NMM_0111,,1,Jan,1,,
,PROD,,Y0NMM_0114,,1,Jan,4,,
,PROD,,Y0NMM_0213,,1,Jan,2,,
,PROD,,Y0NMM_0215,,1,Jan,56523,,
,PROD,,Y0NMM_0218,,1,Jan,1,,
,PROD,,Y0NMM_0219,,1,Jan,11,,
,PROD,,Y0NMM_0224,,1,Jan,74,,
,PROD,,Y0NMM_0228,,1,Jan,82,,
,PROD,,Y0NMM_0233,,1,Jan,238,,
,PROD,,Y0NMM_0234,,1,Jan,26,,
,PROD,,Y0NMM_0237,,1,Jan,2,,
,PROD,,Y0NMM_0238,,1,Jan,3,,
,PROD,,Y0NMM_0242,,1,Jan,2,,
,PROD,,Y0NMM_0246,,1,Jan,51,,
,PROD,,Y0NMM_0264,,1,Jan,11,,
,PROD,,Y0NMM_0266,,1,Jan,4,,
,PROD,,Y0NMM_0267,,1,Jan,9,,
,PROD,,Y0NMM_0270,,1,Jan,1,,
,PROD,,Y0NMM_T0103,,1,Jan,15,,
,PROD,,Y0NMM_ZAB0002,,2,Jan,38,,
,PROD,,Y0NMM_ZAC0006=================CP,,1,Jan,37,,
,PROD,,Y0NMM_ZAE0001,,33,Jan,129,,
,PROD,,Y0NMM_ZAE0003,,1,Jan,5,,
,PROD,,Y0NMM_ZAN0001,,10,Jan,25,,
,PROD,,Y0NMM_ZAN0008,,4,Jan,3,,
,PROD,,Y0NMM_ZAO0002,,9,Jan,14,,
,PROD,,Y0NMM_ZAO0003,,9,Jan,170,,
,PROD,,Y0NMM_ZAO0004,,19,Jan,74367,,
,PROD,,Y0NMM_ZAO0005,,6,Jan,27,,
,PROD,,Y0NMM_ZAO0008,,1,Jan,11,,
,PROD,,Y0NMM_ZAO0016,,15,Jan,22,,
,PROD,,Y0NMM_ZAO0017,,17,Jan,78446,,
,PROD,,Y0NMM_ZAO0020,,3,Jan,67,,
,PROD,,Y0NMM_ZAO0021,,3,Jan,1379,,
,PROD,,Y0NMM_ZAO0025,,6,Jan,14185,,
,PROD,,Y0NMM_ZAO0026,,5,Jan,10859,,
,PROD,,Y0NMM_ZAO0027,,15,Jan,8785,,
,PROD,,Y0NMM_ZAO0028,,7,Jan,124,,
,PROD,,Y0NMM_ZAO0029,,8,Jan,166,,
,PROD,,Y0NMM_ZAO0030,,2,Jan,685,,
,PROD,,Y0NMM_ZAO0031,,8,Jan,59,,
,PROD,,Y0NMM_ZAO0032,,2,Jan,23,,
,PROD,,Y0NMM_ZAO0203,,2,Jan,7,,
,PROD,,Y0NMM_ZAR0002,,24,Jan,198,,
,PROD,,Y0NMM_ZAR0014,,1,Jan,2,,
,PROD,,Y0NMM_ZAR0018,,1,Jan,45,,
,PROD,,Y0NMM_ZAR0020,,10,Jan,179244,,
,PROD,,Y0NMM_ZAR0029,,19,Jan,374,,
,PROD,,Y0NMM_ZAR0030,,2,Jan,755,,
,PROD,,Y0NMM_ZAR0031,,1,Jan,105,,
,PROD,,Y0NMM_ZAR0036,,1,Jan,51,,
,PROD,,Y0NMM_ZAR0043,,4,Jan,102,,
,PROD,,Y0NMM_ZAR0210,,3,Jan,2155,,
,PROD,,Y0NMM_ZAR0220,,7,Jan,9663,,
,PROD,,Y0NMM_ZAR0230,,1,Jan,6723,,
,PROD,,Y0NMM_ZAR0233,,2,Jan,33,,
,PROD,,Y0NPR_0001,,1,Jan,307,,
,PROD,,Y0NPR_0002,,1,Jan,795,,
